matricula_hash,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
09d3adadd62dc358676f46854c3cb1730a8dd1524912ed32875c2897cc305d3a,6.67,6.67,2.75,93.33,0.0,0.0,6.67,0.0,3.03,1.52,0.0,0.76,0.0,1
4466cd3c0ca55904f2c68b9f3ebb6e4b40278381e0e1ee75229e484a0987bc5b,28.19,29.86,1.5,70.14,1.67,0.0,28.19,0.0,13.47,0.0,5.83,0.0,0.0,1
bc79796c312cefba38d2fd2d91c107fa8c81c872409e33dc8a442c094d6ca812,33.33,50.56,1.62,49.44,17.22,0.0,33.33,0.0,28.51,1.8,8.5,0.0,0.0,1
284931b88b1830cebdb23f22400b7c8023a9708d56f799bd53c1615c1737ce76,82.5,86.67,1.35,13.33,4.17,0.0,82.5,0.0,17.95,0.83,4.44,2.58,0.0,0
f9a8a21c9b73c3208c045992075e9922943c4cb2be3965bb586c7f37969240fa,5.56,5.56,1.0,94.44,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,1
3487b84d699f3ca6391a8ece0ae258bff2425a632472b1e1f896afa53acb25ea,44.44,54.86,1.68,45.14,10.42,0.0,44.45,0.0,26.03,0.0,2.5,3.2,0.0,0
ed4fe17c8d3c7c92516468c9b2ff5d644b40f1d47b4bd3c0b74098d8c7f3eef6,3.33,16.95,5.0,83.06,12.22,1.39,1.67,1.67,25.49,13.71,0.0,1.19,0.0,1
de956d32073e8a75693409f5d8997fad974e5fe83ba5f248d9be5ca8b0b5b771,6.94,8.33,1.25,91.67,1.39,0.0,6.94,0.0,8.33,0.0,0.0,0.0,0.0,1
26baa8c449c9aac1f9f0efd0e8373ac9799576cfe215c00334e6a7feda4c623d,78.06,81.11,1.3,18.89,3.06,0.0,78.05,0.0,11.31,2.08,3.57,0.0,0.0,0
5884cecff1c8138fb57d9eef946cccaf2416ad50ecae4a8fbfc16e2d450ae284,45.83,53.33,1.86,46.67,7.5,0.0,45.83,0.0,30.8,6.04,4.05,0.0,0.0,0
582d8669894c2bac0eac1aa38a899cdaff4337a8ec165f517875eacf6f877a0c,57.5,61.25,1.68,38.75,3.75,0.0,54.03,3.47,27.88,0.0,0.6,0.0,1.19,0
cb7e46e2372c92d66fafddf476198f7a89e40ae8a1d0d68a36a7827f3ff9ab5e,60.56,68.06,1.82,31.94,7.5,0.0,60.56,0.0,27.53,12.6,4.17,1.19,0.0,0
6a63f2f94d4948ffb1a3b321be09985cd651eb146bbffd86d3f2e379ddb26c2f,73.61,83.61,1.28,16.39,10.0,0.0,73.61,0.0,26.77,0.0,0.0,0.0,3.57,0
dc40698058c0dc42e15b7fdb861468a19f968e0ea6770b8c7543dcb5eb9ddc84,43.89,48.33,2.21,51.67,4.45,0.0,40.14,3.75,43.52,0.0,0.98,0.0,0.0,0
d8bfa7b98a53c17705aa5b8bdce4e3072af909a0f3b91da32ed1620bca2e1bdb,57.22,65.83,2.03,34.17,8.61,0.0,54.17,3.06,36.08,0.64,5.99,1.39,0.0,0
40ad2731065b32d555d2b940188ebc68b4110a88276c47caf46b00c2356f2340,54.86,62.78,1.91,37.22,5.83,2.08,52.78,2.08,45.67,0.0,2.08,1.39,0.0,0
cf21a02c0fceaedee9ede7a20134751528e6dfd7d1375867b110a1201916d21b,42.5,42.5,1.69,57.5,0.0,0.0,42.5,0.0,11.11,1.19,3.21,0.0,0.0,1
ee6d82a67d8cf3f6a8be6e6e20b5e6563580daf8a9eb274246a088620ffaf1f3,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
041ffbe1f88dc28cf4dd400b4b587a2b80317bff2e7061938baf0d6179af8b0f,5.83,11.25,2.75,88.75,5.42,0.0,5.83,0.0,13.89,9.72,1.39,1.39,0.0,1
c5c9fb3ca95c66e28be83a8cb3f6e9a7de68f8af219de7aa6892a8d545315df8,32.22,33.61,1.3,66.39,1.39,0.0,32.22,0.0,11.81,1.04,0.0,0.0,2.08,0
